5	3	yellow	27,33579
5	1	green	1,144769
5	2	red	6,393351
5	2	red	8,554704
5	2	blue	18,96671
5	2	yellow	6,747082
5	1	yellow	1,176231
27	1	green	7,965665
5	2	blue	9,946201
5	1	yellow	6,681017
5	1	orange	3,871173
6	2	blue	6,020248
5	1	purple	4,253754
5	1	green	5,342289
5	2	red	9,403177
5	2	blue	6,274205
5	1	yellow	465,2465
5	2	green	3,270965
5	2	red	3,429946
5	2	purple	3,237059
5	1	red	3,802753
9	1	orange	6,556516
10	1	orange	2,141578
7	2	red	6,827021
12	1	orange	5,520368
16	1	yellow	4,736868
11	1	yellow	3,54794
12	1	purple	5,283627
8	1	purple	4,428669
15	1	blue	3,690133
12	1	green	6,052387
11	1	red	3,472089
10	2	orange	3,776088
16	1	blue	3,018942
7	1	purple	4,050127
14	1	red	6,006291
8	1	purple	5,06404
16	1	red	3,124719
15	1	green	4,14557
12	1	red	6,945028
9	1	blue	3,22326
13	1	red	3,25539
11	1	yellow	3,123423
10	1	blue	2,243589
12	2	blue	3,018942
13	1	blue	1,663001
11	1	red	2,334609
16	1	orange	3,990927
11	1	purple	5,33127
9	2	orange	3,008467
12	1	orange	3,529918
11	1	yellow	3,68752
8	1	green	5,503937
15	1	purple	3,390317
15	1	red	5,387024
8	1	purple	3,386699
13	2	green	4,06435
10	1	green	1,91663
13	1	purple	2,327231
9	1	purple	2,136503
13	1	purple	1,916783
12	1	blue	3,338895
12	1	yellow	3,346929
11	2	red	3,489498
15	1	green	3,235689
9	1	green	2,648054
16	1	purple	2,058743
8	2	orange	3,535146
14	1	orange	1,625513
28	1	red	0,9349668
28	1	red	1,808121
28	1	red	2,227043
28	1	red	2,731738
10	1	red	3,37532
13	1	red	1,081135
10	1	green	6,007736
9	1	red	3,104924
23	1	blue	4,295669
15	1	purple	9,248264
9	1	yellow	2,966795
14	1	purple	1,883819
14	2	blue	4,84136
11	1	blue	3,267892
9	2	red	4,308594
15	1	red	3,438138
16	2	green	3,905547
8	1	green	3,888507
14	1	blue	3,310164
9	2	green	4,002821
18	2	red	4,102018
21	1	green	3,656566
23	2	red	3,809402
25	1	red	3,834399
21	1	yellow	3,408348
13	2	orange	4,311899
8	1	orange	2,432023
11	1	orange	1,236822
14	1	yellow	4,356964
15	1	blue	3,372229
12	1	yellow	6,582357
7	2	orange	3,744971
26	1	orange	3,327846
19	1	green	3,357191
21	2	purple	12,13159
28	1	purple	5,74822
18	1	purple	0,8553116
31	1	purple	0,914353
33	2	green	6,88939
